PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Family
1,0,3,1,0,22,1,0,7.25,6,0,1
2,1,1,3,1,38,1,0,71.2833,3,1,1
3,1,3,2,1,26,0,0,7.925,6,0,0
4,1,1,3,1,35,1,0,53.1,3,0,1
5,0,3,1,0,35,0,0,8.05,5,0,0
6,0,3,1,0,33,0,0,8.4583,5,2,0
7,0,1,1,0,54,0,0,51.8625,5,0,0
8,0,3,0,0,2,3,1,21.075,5,0,1
9,1,3,3,1,27,0,2,11.1333,6,0,1
10,1,2,3,1,14,1,0,30.0708,5,1,1
11,1,3,2,1,4,1,1,16.7,7,0,1
12,1,1,2,1,58,0,0,26.55,3,0,0
13,0,3,1,0,20,0,0,8.05,5,0,0
14,0,3,1,0,39,1,5,31.275,5,0,1
15,0,3,2,1,14,0,0,7.8542,6,0,0
16,1,2,3,1,55,0,0,16.0,5,0,0
17,0,3,0,0,2,4,1,29.125,5,2,1
18,1,2,1,0,34,0,0,13.0,5,0,0
19,0,3,3,1,31,1,0,18.0,6,0,1
20,1,3,3,1,33,0,0,7.225,5,1,0
21,0,2,1,0,35,0,0,26.0,5,0,0
22,1,2,1,0,34,0,0,13.0,4,0,0
23,1,3,2,1,15,0,0,8.0292,5,2,0
24,1,1,1,0,28,0,0,35.5,1,0,0
25,0,3,2,1,8,3,1,21.075,6,0,1
26,1,3,3,1,38,1,5,31.3875,5,0,1
27,0,3,1,0,27,0,0,7.225,5,1,0
28,0,1,1,0,19,3,2,263.0,3,0,1
29,1,3,2,1,23,0,0,7.8792,5,2,0
30,0,3,1,0,30,0,0,7.8958,5,0,0
31,0,1,1,0,40,0,0,27.7208,2,1,0
32,1,1,3,1,41,1,0,146.5208,2,1,1
33,1,3,2,1,23,0,0,7.75,5,2,0
34,0,2,1,0,66,0,0,10.5,5,0,0
35,0,1,1,0,28,1,0,82.1708,3,1,1
36,0,1,1,0,42,1,0,52.0,3,0,1
37,1,3,1,0,27,0,0,7.2292,5,1,0
38,0,3,1,0,21,0,0,8.05,5,0,0
39,0,3,2,1,18,2,0,18.0,6,0,1
40,1,3,2,1,14,1,0,11.2417,6,1,1
41,0,3,3,1,40,1,0,9.475,6,0,1
42,0,2,3,1,27,1,0,21.0,5,0,1
43,0,3,1,0,27,0,0,7.8958,5,1,0
44,1,2,2,1,3,1,2,41.5792,5,1,1
45,1,3,2,1,19,0,0,7.8792,5,2,0
46,0,3,1,0,30,0,0,8.05,5,0,0
47,0,3,1,0,26,1,0,15.5,6,2,1
48,1,3,2,1,23,0,0,7.75,5,2,0
49,0,3,1,0,20,2,0,21.6792,6,1,1
50,0,3,3,1,18,1,0,17.8,6,0,1
51,0,3,0,0,7,4,1,39.6875,5,0,1
52,0,3,1,0,21,0,0,7.8,5,0,0
53,1,1,3,1,49,1,0,76.7292,4,1,1
54,1,2,3,1,29,1,0,26.0,5,0,1
55,0,1,1,0,65,0,1,61.9792,2,1,1
56,1,1,1,0,45,0,0,35.5,3,0,0
57,1,2,2,1,21,0,0,10.5,5,0,0
58,0,3,1,0,28,0,0,7.2292,5,1,0
59,1,2,2,1,5,1,2,27.75,5,0,1
60,0,3,0,0,11,5,2,46.9,5,0,1
61,0,3,1,0,22,0,0,7.2292,5,1,0
62,1,1,2,1,38,0,0,80.0,2,0,0
63,0,1,1,0,45,1,0,83.475,3,0,1
64,0,3,0,0,4,3,2,27.9,5,0,1
65,0,1,1,0,41,0,0,27.7208,2,1,0
66,1,3,0,0,0,1,1,15.2458,5,1,1
67,1,2,3,1,29,0,0,10.5,6,0,0
68,0,3,1,0,19,0,0,8.1583,5,0,0
69,1,3,2,1,17,4,2,7.925,6,0,1
70,0,3,1,0,26,2,0,8.6625,6,0,1
71,0,2,1,0,32,0,0,10.5,5,0,0
72,0,3,2,1,16,5,2,46.9,6,0,1
73,0,2,1,0,21,0,0,73.5,5,0,0
74,0,3,1,0,26,1,0,14.4542,6,1,1
